情感倾向,评论
0,看知乎来的结果登录就吃了闭门羹;收不到验证码……
1,良心社区;没什么好说的。|实在是众荒拾珍搬;也祝越办越好。
1,挺简洁方便的;色调也很舒服;但是因为个人想要那种只自己一个人说话一个人看的私密空间;所以就只能评个五星鼓励了;哪天出了新功能再踹我吧
1,什么时候可以开通海外手机号呀？去年就想玩这个软件;可惜一直都没有办法注册
1,很喜欢这个软件|很干净|除了有鸽子|鸽子是会传染源|比如我|但是我想夸夸我的笔友|很可爱
1,我是真的爱这款软件;很真实;笔友素质高;太温暖了www
1,看到那么多一星保护的和官方卑微的回复|我真的很想笑(//∇//)|这个软件太好了|好东西就应该分享嘛|但是希望过客也能保持初心;拒绝广告|收费没关系的;运行需要成本|我们也能理解|还是提醒下看评论的各位|如果你不能接受时间较长的等待和认真码字的繁琐|请您退出不要下载|不适合您的;也请不要中伤|——  来自一个小小过客对过客的别样保护
1,我是老胡|我貌似找不到少狼了
1,挺好的 但是今天突然连接不上网络怎么回事啊
1,我已经玩几年了;一直很好;谢谢遇见
1,挺好的;不过重新注册了一个账号后;一直没有收到过新人来信
1,希望这个app能一直都在啊
1,非常棒。但是最近为什么没过多久就总说登录过期啦？明明一天时间都没有到;就因为登录过期重新登录了好几次...啊啊啊真的好麻烦。以及今天晚上一直收不到验证短信;不知道是因为我登录太频繁还是系统有bug;手机号确认了很多次;没有输错;但就是收不到验证码短信
1,可惜只能评五星
1,软件挺好的;就是哪有那么多有趣有灵魂的人呢。
1,界面干净简洁;笔友素质很高;是个很温暖的软件。|不过我来评论主要是因为我想问一下;过客上怎么看自己发出去的信呢？能看自己的信是否被别人收到吗？
1,催PC版！！！
1,很棒的软件;加油！！！
1,我难过的一段时间都是过客陪我度过;里面的人温暖治愈;每个人倾诉自己的心事开心的;难过的;纠结的;虽然素未蒙面;但却正因为一切无知才让我们的倾诉更加纯粹;不用担心是是非非;如此灵魂的交流是如今缺乏的;希望过客发展越来越好呀;在这里就像灵魂的一片栖息地。
1,这个软件真的很不错;在这车水马龙快节奏的生活方式里;能让人慢下来;静下心。
1,很棒哦;在我心情不佳的时候写了一封信;收到了很好的回复。
0,是我喜欢的简约风格;但是有一点体验感是真的不好。那个给未来的自己写信功能;不带自动保存啊！我傻傻写了两个小时;最后一返回啥都没了？！！！还有收到信件的时候分不清是别人回复的还是新的笔友的（这点可能是我自己的问题）
1,在这个纷扰的世界里怎么会有这么纯粹的app？|心甘情愿氪金   请继续加油   你会火的！！！！
1,就是那个发出去的新人信件可以把它再收回来嘛;有时候你的信已经满额了;或者写的烦恼啥的都解决了;但是还是有人回你的信;看着写的都好真诚;不回又觉得自己心里过不去;回吧;有时候挺忙的;没有这么多时间去回复;希望可以看到这个;或则有这个功能的话可以告诉我怎么操作嘛？
1,很想给你一星保护;但是不能太自私hhhhh|  我是一个很懒的人从来没有给app评论过;过儿是第一个。|  大概是去年八月份我第一次下载过客;当时觉得这个app好干净;没有广告;没有人可以打扰;所有人都是匿名。我想开发团队也是希望过客拥有这样一个“干净”的环境吧。|  很感谢过客;让我在这里遇到了一个非常有趣的笔友;虽然后来我们给彼此就下了联系方式可是谁都没有去去添加或者通话。我们通过过客聊着各自的兴趣爱好;生活琐碎;互相加油。|  祝福过客可以越来越好。
0,为什么登录不上去？
1,交到很多心灵上的朋友。
0,只有我是一直收不到验证码吗？
0,真的很失望…阴阳怪气的对线和管理的水平真的非常令人不适。挺伪善的。交不到朋友倒是真的;社交功能弱;使用者平均年龄挺小;都是萍水相逢罢了…
1,爱了;希望继续保持这种灵魂交流的方式;做纯粹的自己;不要被世俗社交软件侵染。
1,这是我第一次给软件打评分;为什么呢;因为这个软件是真好。其一;这个软件很治愈;两个素未谋面的人通过书信的方式诉说着最近的心情;这种感觉很奇妙。不用担心对方认不认识我知不知道我的姓名;就单单通过文字交流。其二;在下载之前我很担心这是一个劣质产品;害怕里面会有些令人恶心的人和语言出现;然而迄今为止;并没有出现过。整个软件;每封信;每个人都很干净清新。其三;里面的人都很好;包括官方人员;体贴的话语深入人心;给我很大的感触。就是那个岛什么的我没搞明白;还有就是等信的时候太焦灼了;我明明知道她已经回复了我的上一封信;但是还得等几个小时才能收到她的来信。不过;这点也是这个软件的初心;让彼此像真正的笔友一样;通过书信邮过来寄过去。第一次写这么多话;因为我是真的很喜欢这个软件。希望这个软件能越来越好;但也不要弄得花里胡哨的;希望有更多好的人发现并使用这个宝藏;不希望这个软件以后变得乌烟瘴气。应该懂我的意思吧哈哈哈。好了就这样了;我最后还要说一句;我很喜欢这个软件！
1,挺好的真的;里面都是真心又暖心的人;我尤其喜欢树洞功能;里面的人都太好了;耐心的看你的吐槽还提出很好的建议。
0,怎么看自己之前写过的信啊
0,是个倾诉的好地方;不过很难交到真的好朋友(*´∀｀)
1,好喜欢这个软件;真心不错
1,很棒的一款软件;能在这里认识有趣的人;进行灵魂交流;在这个世界里;没有喧嚣;没有世俗;返璞归真;君子之交淡如水;我们见信入面;礼貌而舒服的联系
1,真的很棒！真爱了(⑉°з°)-♡
1,这款APP只能用手机号登录;建议用永久的手机号登录。
