情感倾向,评论
1,很棒！！！
1,软件很好
1,超喜欢！
1,真的很棒！
1,见字如面
1,好
1,很  静心
1,好软件
1,很好啊
1,整挺好
0,属实不行
1,可以可以
0,收不到短信
1,很不错哦
1,温暖;平静
1,非常好。
1,我爱！
1,无脑五星
1,要越来越好啊
1,嘿嘿
1,nice
1,很好;很优秀
1,可
1,简洁好看
1,太棒了！
1,特别喜欢
1,话不多说啦
1,好用！！！！
1,走出心理阴影
1,完美
1,nan
1,改了五星
0,没钱（
1,喜欢
1,很好哦
1,很棒
1,五星保护一下
1,棒
1,加油啊
1,感受到了宁静
0,无聊
1,果断五星
1,棒！
1,太棒了！
1,真棒的
1,很不错的软件
1,真的好喜欢
1,好
1,浮世之珍宝
1,超级棒
1,很值得.
1,很棒哦。
1,五星求曝光度
1,超棒
1,很好
1,挺棒的
1,:-)加油
0,心灵港湾。
1,真的很好加油
0,服务器炸了？
1,真的很棒！
0,一星保护
1,登录不上了喂
1,很棒
1,可！
1,我就觉得很赞
1,超棒棒的树洞
0,好贵！
1,奥利给！
1,喜欢就对了…
1,加油！
0,一星保护
1,怎么注销账号
1,好温暖的软件
1,我爱这个软件
0,就那样
1,还不错
1,喜欢！
1,很好
1,赞
1,很好的~
1,干干净净
1,很喜欢
1,哇;太用好了
1,五星
1,棒棒哒！
1,过客很温馨。
1,特别喜欢
1,喜欢!
1,真好。
0,原来叫什么
1,加油加油喔
1,赞
1,从前慢。✨
1,很好;加油
