情感倾向,评论
1,良心社区;没什么好说的。|实在是众荒拾珍搬;也祝越办越好。
1,什么时候可以开通海外手机号呀？去年就想玩这个软件;可惜一直都没有办法注册
1,我是老胡|我貌似找不到少狼了
1,挺好的 但是今天突然连接不上网络怎么回事啊
1,希望这个app能一直都在啊
1,非常棒。但是最近为什么没过多久就总说登录过期啦？明明一天时间都没有到;就因为登录过期重新登录了好几次...啊啊啊真的好麻烦。以及今天晚上一直收不到验证短信;不知道是因为我登录太频繁还是系统有bug;手机号确认了很多次;没有输错;但就是收不到验证码短信
1,很棒！！！
1,可惜只能评五星
1,催PC版！！！
1,很棒哦;在我心情不佳的时候写了一封信;收到了很好的回复。
0,是我喜欢的简约风格;但是有一点体验感是真的不好。那个给未来的自己写信功能;不带自动保存啊！我傻傻写了两个小时;最后一返回啥都没了？！！！还有收到信件的时候分不清是别人回复的还是新的笔友的（这点可能是我自己的问题）
1,就是那个发出去的新人信件可以把它再收回来嘛;有时候你的信已经满额了;或者写的烦恼啥的都解决了;但是还是有人回你的信;看着写的都好真诚;不回又觉得自己心里过不去;回吧;有时候挺忙的;没有这么多时间去回复;希望可以看到这个;或则有这个功能的话可以告诉我怎么操作嘛？
1,见字如面
0,是个倾诉的好地方;不过很难交到真的好朋友(*´∀｀)
1,这款APP只能用手机号登录;建议用永久的手机号登录。
0,挺好的软件;|但是推广;软广偏多;|而且一本杂志里的内容建议更加多样化些;|还有bug让人很不爽;为什么公开树洞过几天会突然变成私密的？我有两个树洞都是这情况
0,可以有三颗星是因为发呆功能。|以下对Gorkor提出几点建议：|1把小鱼游来游去改成全屏或半屏。只占三分之一实在太少了;我每次发呆时都不能很好的沉浸在其中;全屏观看它不香么;更加清楚的看到小鱼儿游泳我相信会有更多人来发呆的❗️❗️❗️|2把用户发呆排行设置成按键查看。我并不是很想和人比较发呆时长;但这仅代表我一个;也会有一些想要获取排行的。设置成按键查看既方便我这种人也方便另一种人。|3适量投放一些机器人。每次我发信都没有人回信。这种感觉就像是自己精心制作的礼物结果没人在乎一样。机器人不用多做什么;只要看到是悲伤的信安慰一句就行;让我们体验到有人在乎自己。|以上是我的建议;望这款软件越做越好;更多人参与到其中！
1,不知道说什么;但真的很喜欢这个软件
1,信箱满了;然后我花了十块钱买了容量;读了一封信;信箱又满了？啊;这……？？？
1,它老震动什么？怎么关？救救孩子
1,挺暖的一个APP
1,为什么有时候会收不到验证码啊
1,我喜欢。邮局寄信也要钱啊;反正我喜欢这种邮票的感觉。
1,我就想知道自己在壹本杂志投稿成不成功;如果不成功可以告诉我吗？？
1,为什么收不到信;投信等于石沉大海！！！嘤嘤嘤
1,这是个很好的软件;我非常喜欢。但是用着用着我就遇到了个小问题;就是我寄给笔友的信显示被拒收了;我以为他不想聊了;结果笔友写信过来说他写的信被我拒收了？我确信我没有拒收;我想笔友应该也不会特意骗我;所以到底是怎么回事嘞？希望可以解决一下下啊;差一点就失去应该朋友了呢
1,这个软件真的特别特别特别好;真的强推;只不过有一个缺点;希望每个人的过客岛里发出的动态可以修改;方便更新。今天中午的时候过客崩掉了;我点开的时候它一片空白。不知道为什么
1,那个注销功能可以增加一点询问过程或者放隐蔽一点不;粗心大意的孩子真的生怕自己哪天手贱按错了(´；ω；`)
1,好软件
1,干净;简单;慢
1,突然很想来给过客写一篇小作文！|来到过客五个多月了;现在我打开它的频率比打开QQ和微信还要高。真的好喜欢这里啊;信箱里有我喜欢的笔友;岛上有我喜欢的岛民;灌水有我喜欢的温柔的过儿们。|关于很多人在说的邮票收费;我之前认为邮票信纸我是必不可能花钱买的;用积分不香嘛！但是有了可爱的笔友;就会想花钱送给他们;或者买好看的邮票信纸给他们写信;就觉得收费也还好了;而且就算不氪金也不是用不下去啊。之前我也是入不敷出;但随着时间过滤掉了那些写一两封就再也没有回信的过客;剩下的一两个笔友用的邮票其实靠积分就够了。|还有就是有人说过客功能繁琐诶！！我只觉得过客功能好少（当然不需要太多;我只是想表达其实这个软件很简单）;还有那么多功能还在“敬请期待”…很想早点看到它上线的那一天。现在每天就在灌水和岛上四处溜达。我觉得找不到自己发的动态也蛮好的;就让它们随时间消逝吧(´+ω+｀)|老王多想想周边嘛;然后多卖一点钱就可以推出更多的功能啦！现在我的岛终于热闹起来了;可堂屋却下线了;好可惜啊。我记得之前灌水有建议一些周边;例如把信印成书册（这个真的疯狂打电话;太有意义了）;还有书签钥匙扣手绘本什么的…我也不太懂;总之希望老王大猫多赚点钱啦|最后希望过客越来越好～永远都能像现在这么干净。
1,可不可以屏蔽拉黑人啊
1,真这么多都在一星保护呀
1,很好很好;就是每次登录都要验证码太麻烦了;希望什么时候可以加一个密码登录。
1,总体还是不错的;我很喜欢这个软件;但有一些小建议：|1、找不到别人给我的每日问题的评论回复|2、在树洞看到很精彩的评论;但是没有办法给那个人写信;只能给树洞主人写信……如果能出一个根据ID搜索用户的功能就好了（不允许搜索的话可以自己设置嘛）|3、通知消息很乱;不论是别人点赞我每日问题的评论;还是动态回复;都挤在一起;而且点进去一次之后;就再也找不到了;除非一个一个慢慢翻;灌水别院动态更新快;想找到简直要翻到吐血了。|4、服务器又炸了……加载不出来。是因为最近新用户太多了吗？
1,过客可以帮笔友买邮票吗？买邮票的地方有个选项是为谁购买;可是我选了笔友的名字买了以后邮票还是在我这边啊？然后希望过客可以出个客服或者问答的地方;有些疑问可以帮忙解答解答
1,刚下了这个软件;在里面我可以看到我回复别人的信;但怎么也找不到我投出去的信;这个在哪看？麻烦开发者说一下。
1,刚开始用;界面还是很利落的！没有莫名其妙的杂物;这一点很舒服～|但是邮票一张一块会不会有点小贵？可能是我还不清楚使用方法？
1,就是很棒的App呀;在里面大家都是匿名的所以自己什么样的话都可以讲;树洞里适合自己情绪的表达;灌水就顾名思义很适合灌水呀;再也不用担心发空间发朋友圈别人嫌烦而且都可以收到回复...最最重要的一点;以信会友！在我们这样的年代;我们都没怎么经历过太多写信;但是在过客可以呀;而且还需要等就也可以让我们更有耐心～
1,希望一星保护的人长点脑子
1,我想问一下;即达邮票在哪买？
1,再见过客;来过;等过;走了
1,很好的软件;邮票也超超超好康！|但是不知道怎么回事从今天早上开始主页就一直显示网络超时（其它软件都可以正常使用欸）;so难过o(╥﹏╥)o
1,现在是不是系统崩了。。打不开呀？
1,请问今天你们的可以打开吗;我的一直加载不出来。就连退出重新登录也一直收不到验证码。好着急啊 ;我怕错过他们的来信。|软件是很棒的软件哦;遇到了几个小可爱。
1,下载了五六次了;验证码还是接受不了;网络超时
1,为啥我现在登不上去了？
1,可以可以
1,这个软件是众多通讯软件中最合我意的;也很干净;一直在纠结五星还是一星;毕竟我看过很多软件人一多;就从干净合意到虚伪反感;真真是怕极了这个软件会被污染;唉;最终还是内心的正直（并不）占了上风！
1,我。。新人;四天了;就收到第一天晚上的两封信;啥都没有。。还是挺好的;希望能有保存往来来信的功能;信好好收着回看会有那份温馨感呀
1,如果寄出的信能够增加撤回功能就好了;因为有很多话寄出后又突然有了新的想法;有点遗憾。
1,软件很不错;不会有一些个人信息泄露;真的是和陌生人交流;感觉不错。想向开发者提个建议;在收到信的时候;我们只能看到信的前几行;难免会有一些朋友把重要的内容放在了后面;导致收件人判断不清;收了信件;回复时却力不从心。不回;寄件的朋友又会有失落感。其次;不小心误点了也真的很尴尬啊。。。是否可以给收件的朋友再次确认的机会呢?期待您的回复。
1,真的很好的软件;里面的人也很温暖。|但是我觉得还是有一些地方不足;譬如通过树洞回信或者收到的信无法查看到这个树洞是哪个;感觉很不方便;有时候在多个树洞下回复;有树洞主人给我回信了;我都不知道是哪个;以至于都不知道该如何回信......
1,好不可思议;三年前用的软件了居然没凉;我收到了三年前写给自己的黑历史;要死
1,为什么只能短信验证才能登录?
1,这个软件就是现在的我一直在找的;不过有一个小问题;写过的信在哪可以看到?
1,我觉得这个软件挺好的;不像其他交友软件;完全心思不纯。在这里可以把自己的心里话通过书信方式写出来;烦心事也会有人给你建议。还可以交一些新朋友。我觉得少一星是因为在过客岛别人回复你的时候;能不能直接弹跳那个画面;每次都要自己去找;有时找不到完全错过别人发的信息
1,其实沉下心来写信真的好喜欢;就是觉得信箱容量太小了吧555; 买的话只能买一个.. 因为真的每一封信都不舍得删;对方都特别好。
1,好用是好用;个人作为学生党;还是觉得有点贵;信箱容量不够了;还要交钱;我太难了。
1,天;这里新手;把同一封信寄了两遍怎么办;问题大吗(ಥ_ಥ)
1,很喜欢的一款app;一直不舍得删掉的;嘿嘿(º﹃º );我的五星是真的(//∇//)
1,我可以拥有回复吗
1,使用软件第一天;我感觉挺好的;其实我很想知道比如说你发了一封信;另一个人给你回了;然后你再去回复那人;接着是不是谁也发不了消息了;就是说两个人之间的缘分就这样断了？是挺想和那个朋友认识的;难搞o
1,请问这个样子怎么查看其他人的邮件（就是它显示的是过客001;点了中间一下;他就只显示出半个文章;而且其他的文章还看不了）
1,已经有好些日子找不到岛内积分的赞助了;系统问题吗？
1,今天写了第一封信;就想问一下;在哪能看到自己写的信啊？
1,绝对五星;这个软件太干净了;好评
1,挺好的;就是有时候登录收不到验证信息是为什么？
1,我想到一个功能;不知道合不合理;大家有没有需要？在过客岛发动态的时候能否增加一个选项：同步到灌水；或者在发灌水的时候有个选项：同步过客岛。
1,很棒的软件|就是最近不知道为什么打开时界面出现了白屏（？）已经好久不能回信了…
1,能不能出一个使用说明;邮票是不是发出信件的必需品;有没有人收到我的信件;这些我都不知道啊
1,怎么看自己寄出去的信的状态啊
1,这真的是一个非常干净的软件;我很喜欢。而且邮票信纸什么的都有免费的;标价的也不贵;还给那么多积分给用户换免费邮票;我真怕你们饿死……
1,无脑五星
