情感倾向,评论
1,很好的一个软件
1,很喜欢这个软件
1,很好的一个软件
1,我觉得很好;可以给未来的自己写信;多年后收到这封信会很惊喜
1,我觉得挺好的;可以当做自己的树洞;倾诉自己的烦恼;记录想记录的东西
1,不错(*๓´╰╯`๓)♡
1,非常不错的一个软件
1,很感谢这个软件|一直都喜欢给自己写信;纸质的容易坏;不知道什么时候就不小心扔了;这款软件就很好;可以文字版;也可以留音频。|算着我已经寄出去五六封信了吧。挺好的。|没出什么差错的话应该会一直留着这个神仙软件。
1,良心APP;爱了爱了(⑉°з°)-♡
1,这个APP真的太好了
1,第一次使用这样的软件;感觉还不错;期待收到自己的信呀;嘿嘿嘿
1,nice 很好的APP 值得下载
1,很好;养成了一个写信的小习惯
1,用过才知道她的好
1,我是真的觉得很不错
1,我一直都喜欢这个款软件;
1,这里让我发现了另一个我的内心世界;也许它是孤独的;又或许它是有许多朋友的。感谢
1,很棒的软件;希望你能一直做下去。
1,说实话;我收到信件的时候惊到我了!我一字一句的读完;眼角微微湿润了些。。。一年前的我;你还好么?
1,看评价看哭了|感觉用这个APP的人都是期望着人生能变好的|第一封信只是简单的写了希望 但是一年半之后再看到这封信发现都做到了|今天寄出了第二封信 除了希望也交代了现下的一些状况|“寄出之后不可撤回;不可查找;就此消失。希望你也忘掉这件事;直到那一天。”|慢慢忘记信的内容的这一年要记得变好|希望一年之后收到信的自己能笑着流下眼泪|加油;小程!
