情感倾向,评论
1,好怀念
1,挺好
1,加油
1,很喜欢;推荐
1,加油做下去
1,超级满意
1,爱死
1,满意
1,愿 诸愿有成
1,细节;
1,很好
1,不错哦
1,用起来很舒服
1,好用
1,爱了
1,非常不错
1,真的很好
1,很好
1,nice
1,喜欢
1,真的很好
1,很棒的软件
1,喜欢
1,好
1,有点喜欢哦
1,非常感谢。
1,不咋更新了呢
1,很好
1,好软件
1,很喜欢
1,我很喜欢
1,感谢你们
1,好
1,太棒了
1,很好
1,好
1,我爱了
1,还蛮好的
1,绝对5星
1,好呀
1,好
1,真的不错
1,很好的软件;
1,巨好
1,很好;我超爱
1,很棒的APP
1,非常的好用
1,很好
1,太棒了
1,吹爆
1,感觉挺好
1,真的蛮好的
1,很棒！
1,太挺好
1,很棒
1,简直好得不要
1,还可以
1,挺好的呀
1,非常好的软件
1,神仙软件
1,太棒了
1,真的挺好的。
1,爱了
1,很爱
1,很棒真的
1,真的挺好的
1,很好。
1,挺好
1,可以的
1,未来可期
1,很有意义
1,喜欢
1,温馨
1,好
1,加油！
1,好用～
1,很棒的软件呢
1,很棒
1,很好
1,很喜欢
1,很棒
1,挺好的
1,真好;
1,很好
1,非常可
1,良心软件
1,感觉很奇妙！
1,超级好
1,很棒
1,很好哦！
1,开心
1,喜欢喜欢！
1,很棒！
1,很好
1,珍惜当下
1,太棒了
1,感动到了
1,好
1,创意不错。
1,很好
1,太赞了
1,爱了爱了
1,真的很好！
1,试试吧
1,好赞哦！
1,真好
1,不错的应用
1,满意
1,棒
1,很喜欢
1,很喜欢！
1,不错哦
1,APP很棒
1,好评好评
1,棒
1,很喜欢
1,超级满意
1,很棒
1,谢谢你们呀！
1,很治愈
1,我爱了！
1,还可以
1,非常棒
1,挺好的
1,我很喜欢！
1,我很喜欢
1,温柔以待
1,挺好的
1,喜欢
0,更新啊
1,真的好好用
1,很好
1,真好
1,挺好
1,很用心
1,好期待
1,希望你能幸福
1,感动和期遇
1,很棒很棒很棒
1,巨贴心
1,挺好的
1,很棒。
1,真的好好哦
1,很棒的软件;
1,真的好
1,非常不错！
1,good！
1,真的是太棒了
1,莫名的感动
1,好
1,很好。
1,可以
1,赞
1,真的好棒！
1,很喜欢
1,很喜欢
1,挺好的
1,挺好
1,还挺神奇的
1,很好
1,很棒
1,真的很好
1,挺好的
1,很好
1,喜欢
1,可以
1,很好用
1,先试试吧
1,很好的软件
1,好
1,超赞
1,挺好的
1,很棒
1,我很喜欢啊
1,好棒
1,奇妙的感觉
1,吹爆
1,还行
1,不错的软件
1,很好
1,很好
1,爱啦
1,未来可期
1,非常好的软件
1,很棒
1,宝藏软件
1,好用
1,挺好的
1,很好;好喜欢
1,爱了爱了
1,棒
1,很好
1,很喜欢
1,喜欢
1,当然就是太棒
1,太棒了
1,这算是激励吧
1,很好
1,感觉挺不错的
1,非՞常՞
1,不错
1,满意
1,挺不错的
1,我很开心
1,nice~
1,很棒
1,很好;很想哭
1,太赞了
1,很有心的作者
1,感触很大！
1,很好的
1,太感动了呜呜
1,真的很好
1,我喜欢。
1,赞赞赞
1,特别的感想
1,真的…很感动
1,很好
1,很好
1,可以
1,好用
1,奈斯
1,爱了
1,神仙软件好伐
1,真的很有心
1,很好哦
1,非常好哦
1,赞
1,刚写完寄出去
1,好用。
1,很喜欢
1,是我的陪伴
1,谢谢你们
1,很喜欢啊
1,喜欢
1,太爱了
1,棒。
1,已经两年了呀
1,棒
1,很喜欢
1,期待吧
1,不错
1,很棒呀
1,good
1,很温暖
1,.很好的
1,很赞
1,特别好
1,喜欢
1,哪哪都好
1,不错;很喜欢
1,很喜欢
1,就很好
1,挺好的
1,很好
1,很有意义。
1,非常好
1,很喜欢
1,很棒
1,好好好
1,非常棒
1,很好
1,很棒
1,很棒
1,不错的APP
1,好喜欢
1,还不错呦
1,加油！少年。
1,期待
1,挺好的。
1,很棒
1,非常棒的软件
1,我好喜欢
1,很棒啊
1,很多回忆
1,期待未来
1,挺不错的;
1,满意！谢谢！
1,特别棒
1,不错
1,很好
1,问问自己
1,挺好的 喜欢
1,很棒
1,很治愈
1,很喜欢
1,还好
1,期待
1,希望不忘初心
1,爱了
1,满意
1,挺好的
1,这个很满意啊
1,我爱
1,好
1,不错
1,这个软件超棒
1,非常好
1,喜欢
1,很棒
1,特别好用
1,绝对五星
1,很好的应用
1,nice
1,加油努力
1,还挺好的
1,非常奈斯
1,挺不错的
1,很棒
1,很喜欢很喜欢
1,期待自己的信
1,可以
1,好用
1,很棒
1,贼好
1,感觉还行
1,太棒了
1,满意
1,很棒
1,很温暖
1,还不错
1,这个很不错
1,感觉很好
1,很好用
1,好评www
1,还好
1,超级好
1,谢谢你的存在
1,我蛮喜欢的
1,很棒
1,加油！
1,六批
1,很好用哦
1,很棒
1,很好
1,很好用
1,期待…
1,很期待
1,很喜欢
1,不错不错
1,太棒了！
1,很好
1,喜欢
1,很良心
1,很好呀
1,很喜欢
1,nice
1,真的很满意
1,点赞
1,爱
1,很好
1,加油
1,顶一个
1,很喜欢
1,好棒
1,超有意义
1,挺好用
1,走心
1,很棒！
1,非常好
1,棒！！！
1,感谢这个软件
1,挺好的
1,Nice！
1,很棒
1,挺好的
1,喜欢
1,很好不错喜欢
1,温柔的app
1,五星好评
1,很好
1,很棒
1,特别好
1,棒极了
1,好用
1,可以
1,挺好的哦
1,还行;简单
1,很不错哦
1,很好
1,太棒啦
1,很nice
1,原你与我都在
1,给个好评
1,非常满意
1,挺好
1,很好哦
1,挺好的
1,很棒的
1,很棒
1,满意
1,很棒
1,期待
1,很棒啊
1,很棒！
1,很棒
1,很喜欢
1,我太满意了
1,好好
1,爱了爱了～
1,好
1,很好的软件
1,很喜欢
0,很棒
1,非常好
1,好用极了
1,加油！
1,挺好的
1,很好
1,非常不错
1,挺好的
1,很好
1,超级棒棒哒！
1,真的特别好用
1,就很棒啊
1,太棒了！
1,很喜欢
1,真的很棒！
1,宝藏软件
1,还喜欢他。
1,非常喜欢！
1,太棒啦
1,特别棒
1,非常棒
1,太棒了哦
1,太棒了
1,期待
1,很好哟
1,OK！奈斯
1,觉得还不错
1,很棒。
1,nice
1,特别好
1,很好用
1,挺不错的
1,可以哦哦哦
1,满意
1,真的很不错
1,完美
1,nice
1,很好
1,真的很棒
1,好
1,很好
1,未来的自己
1,喜欢
1,免费的很棒
1,不忘初心
1,特别棒
1,很棒
1,真的非常好
1,点赞;好用
1,挺好用的
1,感觉还不错
1,很好
1,很有意思！
1,很好
1,很好用！
1,很棒;很爱
1,很喜欢哦
1,很棒
1,挺好的
1,很有情怀
1,谢谢你
1,喜欢
1,我的宝藏
1,非常好
1,非常好
1,好爱
1,爱了。
1,app很棒
1,谢谢你
1,很好
1,喜欢
1,超nice！
1,超喜欢
1,超级奈斯
1,超级好推荐
1,好啊
1,很好啊
1,很浪漫的东西
1,好
1,挺好
1,很干净很感激
1,很好
1,很喜欢
1,好棒了吧！
1,好软件
1,非常棒
1,非常好;喜欢
1,很喜欢
1,很喜欢
1,超赞。
1,挺好的
1,感觉挺不错的
1,纯净
1,挺好的
1,特别好
1,好
1,永远爱你
1,很好
1,加油吧
1,很好
1,很好
1,很棒
1,好！！
1,真的很好
1,奈斯;很不错
1,希望你开心
1,很棒
1,很爱
1,我喜欢！
1,很棒
1,真好
1,很喜欢
1,爱了爱了
1,还可以哦
1,挺好的
1,感觉不错
1,很棒
1,很好
1,很棒
1,好温柔
1,好
1,满意
1,很好;很治愈
1,很好很好
1,未来
1,很棒
1,喜欢
1,很好呀;
1,有点小感动
1,挺喜欢的
1,未来加油吧！
1,真的很不错
1,真的很好。
1,太可了吧
1,我喜歡
1,加油！
1,超级好
1,典雅
1,非常好！
1,非常喜欢
1,未来可期
1,很棒
1,好棒啊
1,非常好用
1,特别棒
0,不错
1,真好！
1,简洁  干净
1,很好很好
1,非常好！
1,非常非常不错
1,可以呢
1,感受感动
1,真的好好
1,非常棒
1,喜欢
1,加油！！！
1,好
1,太棒了
1,非常棒
1,好温柔
1,很喜欢
1,好温柔
1,太棒了
1,很棒
1,加油
1,很喜欢
1,很好啊
1,真的很喜欢昂
1,很喜欢
1,满分！！！
1,很好.
1,太棒了
1,很喜欢的
1,喜欢
1,很暖很好
1,很暖真的很暖
1,暖心;安静
1,很好
1,就挺好的
1,给自己力量。
1,这款软件很好
1,满意
1,五星
1,我觉得挺好的
1,挺好的
1,很好
1,超喜欢
1,超级棒
1,喜欢
1,灵魂栖息
1,还不错
1,期待
1,挺好的
1,很棒棒哦！
1,很好用哇！
1,很不错
1,真的挺好的
1,未来已来。
1,真的很好
1,很棒;支持
1,很好啊
1,很有意思
1,太棒了！
1,一个字;好！
1,爱爱了;很好
1,真赞
1,我很喜欢
1,太赞了
1,太棒啦！
