情感倾向,评论
1,要有大大小小的期待生活才不会百无聊赖
1,在最右上看到的;觉得很有意义;就写了一封信给自己
1,来日可期;愿自己能熬过去
1,希望它可以一直在
1,之前收到了我自己写的信都被吓到了;完全忘记了这回事;看了以前的自己感觉那个时候好蠢啊;这个app太赞了。
1,这个软件一定要活下去！
1,真的挺好的。已经寄了两封了。|第一封是在两年前吧;然后去年收到的;当时看到的时候真的被感动到;一开始还没想起来;信里的内容真的很幼稚;但是看的时候也是真的热泪盈眶。|第二封是今天写的。定在了明年第一天收。
1,特别好(✪▽✪这个真是最良心的软件了;在我这里;没有之一
1,如果我真的可以收到那我再回来评价
1,第一个主动评价的软件
1,不知道能不能真的收到纸质的;能的话他真的是个不错的软件
1,真的很好啊  某天你看到自己的一封信
1,第1次用完我就往上捐了10块;这个软件真是太好了。
1,我感觉;心里那些话说出口好多了
1,页面简介;好评(o^^o)
1,爱死
1,第一次给APP写评价  每一部手机都会下载  希望这个软件可以一直存在
1,很简单的软件;我第一次寄出的半年后收的信真的收到了(*^▽^)/★*☆很开心;那种时过境迁的心情真的体会到了;感觉有时间胶囊的味道了
1,愿 诸愿有成
1,嗯嗯!很好的软件;简直太神奇啦哈哈;也很人性化;建议下载哦~
1,没有广告推送;很纯粹。
1,当我寄出那封信的时候;我开始期待十年后的今天。
1,坐等五年后;希望可以收到
1,真希望我能如期收到写给自己的信啊
1,不需要多说什么;用了三年了
1,为什么我手机黑屏过一段时间就停止播放了啊;我真的很想在睡觉前听一封创作者的信;可老是黑屏之后过一会就没有声音了
1,其实觉得不错的;我去年写了信今年收到了没有想到欸....
1,可不可没有封数限制阿!!!
1,纸质寄信到时候收信者会看到寄信日期么
1,能不能让我把之前写过的信删掉呜呜呜
1,刚刚寄出去不知道能不能收到;其实自己也是挺期盼的吧
1,真好;刚刚就写了一封
1,在心情不好时;又再次收到了自己的信;于是再次下载它给以后的自己写信;让ta跟关注自己。
1,非常有意义的一个软件
1,页面操作简单到我一年也打开不了他几次;但我依旧让他存活在我每一个手机里
1,希望真的可以寄出来哈哈哈哈哈
1,很喜欢这种 但是还是有点心疼 照片居然要钱 虽然不是很贵吧但是还是心疼嘤嘤嘤
1,看看孩子吧;求助一下各位用户;请问我写的信写错了收信账号怎么办啊……信还没寄出去;想改收信账号;但又联系不上客服……谢谢各位大哥了
1,非常好的一个软件！
1,是第一天安装啦;希望软件会越来越好捏
1,原来下载的时候;一个月可以写6封信;过了半年只能写2封;希望可以适当调整。
1,写了一份信给大一六月的自己    希望不在迷茫  堕落    软件好评呦！！！
1,我真的喜欢这个软件;如果说....我两年后还记得这封邮件的话;我会事业有成吧。
1,10年后;我不知道我会不会忘记他;
1,不咋更新了呢
1,好软件
1,我特别喜欢这个应用;不过就是能不能把微信登录换成其他登录;比如QQ登录之类的;因为我一般都是QQ登陆;不喜欢微信登陆;除了这一点;其他的我都非常满意。
1,很喜欢这个软件;不知道后面收到自己当初写的信是啥感触
1,就很棒;好久好久之前寄出去了一封信;现在还没有收到;已经不大记得到底有没有这封信了;隐约记得;如果有这封信;我应该写了一些对大学的期待。|以前写信我都是写给别人的;且永远都寄不出去的那种;现在我打算每个月给自己写一封信;每个月都好好的规划自己！成为一个更优秀的人！！！
1,给未来的一封信纸质版手机号换了怎么办
1,很喜欢！！！！
1,绝对5星
1,活下去;听到没？
1,今天收到了两年前寄来的信;鼻头一酸忍不住落泪。两年的时间真的会改变太多东西;这个软件原本是删了的;现在又下载回来。是用心的软件~爱了
1,我已经写好啦;希望三年后的自己能收到这封信
1,巨好
1,建议：希望寄出时间可以设置具体一点
1,超级喜欢这个软件;而且无广告;也没有要付费的部分;爱了(⑉°з°)-♡
1,吹爆
1,简直好得不要
1,很喜欢这个软件;但是我想问问;还能查看寄给过去的信吗
1,还可以
1,怎么说呢？突然给自己写了一封信;心里真的不知道怎么说了
1,在不经意间收到来至从前的声音
