情感倾向,评论
1,真的很棒嗷;每一年的自己与自己对话
1,这个APP真的很有心|让我感觉到世界好温柔
1,APP给人感觉很舒服
1,特别简洁又没广告;超棒！真的！爱了！
1,这款软件真的是太棒了！
1,非常不错;信的形式挺多的;服务挺周到的;爱了
1,这款软件真的很棒啊;希望以后可以收到给自己的信
1,我真的很喜欢这个小软件;给了我一种很温馨的感觉;每个人都可以在这里说出自己的故事;可以和未来的自己对话;对未来充满了美好的期待;软件里的每一封信;都充满了生机与爱意;我很爱它;对我来说;她不再像一个软件;她是我的知心朋友;是我的时光机。
1,很好的;今天刚好收到了去年写的信
1,静等两年之后的自己
1,写完信;心里觉得好舒服。真的像一个树洞一样;倾诉出现在的一切;给未来的自己。
1,第一次试 好像真的还不错
1,有时候心情欠佳时;想到有这么个地方;还是很欣慰的。愿每一个心情的小精灵都可以
1,太喜欢了。感谢;加油！
1,很有意义的一件事！
1,很有情调的一个软件
1,很棒的APP！|我真的超级喜欢这种界面简洁干净;同时意义非凡的小事物|加油呀！！！！！
1,很好用很新颖;希望未来的我可以收到信
1,很好的软件！值得;它很特别;适合年轻的自己来使用。用它来记录成长真的很合适
0,不知道怎么回事;每次微信登录都显示登录异常？以前也写过信寄过信;都没问题啊
1,未来我们都不知道是什么样子;也许未来会忘记现在发生过的事情;但通过这个软件;可以把现在发生的事情告诉未来的自己;在未来的某一天里;当你看到以前自己写的信时;会有什么样的感觉？
1,算是对自己的一个总结和期盼 |刚开始会想着 后来忘了 最后收到的时候看到的全部都是自己处于本心的努力的现状 真的很奇妙
1,蛮不错的一个软件。今天收到了之前自己写的信;多少有点感触;有种跨时空和过去的自己相见的感觉。个人觉得蛮有意义的。
1,非常满意;给未来的自己
1,我今天收到两年自己给自己写的信了;感触良多。说真的我都快忘了这封信。中间换了一次手机这个软件也一直在;真的没有推送。最近刚很迷茫有些话也不知道可以和谁说;所以就有写了一封信送给明年的自己。希望我做出了那个关乎人生的选择。不在乎对不对;只在与敢不敢自己承担起人生的这份责任。我希望这个软件可以一直在。因为有些话除了可以和自己讲;真的无处可说了。望好
1,很喜欢这么良心的软件;让我可以跟未来的自己对话;希望软件越来越好;我们也成为更好的自己！
1,现在高一的我收到了初三的自己写给自己的信。|感觉非常的感动;也很奇妙。|想要告诉初三的自己。|现在我已经考上心仪的高中啦！|我会长期使用这个app的;继续给未来的自己写信。期待在未来的某一天;我会收到现在我给未来的自己写下的文字;会被感动或激励|这个app一定一定要一直在呀
1,在未来的某一天再看到今日的迷茫;会不会觉得很可笑
1,很好;希望十年后可以收到信！
1,很好;感觉就是在和自己对话;希望自己不忘初心
1,喜欢尽在不言中;祝越来越好嗷！
1,我觉得这应用挺不错的;我平时总会触景生情;现在有了它;我就可以记录下那些;然后在不久的将来收到它 ;就能回忆起那些时光。
1,与其说是一个给未来的一个期望;更不如说是当下自己的一个树洞;承载了我的各种喜怒哀乐;更是我难过时的一份慰籍;懒惰时的一份动力;这里有对自己未来的憧憬;对现在自己的不满和总结;每次写信后都会非常释怀;觉得自己离梦想又进了一步！希望这个宝藏app能被更多人发掘;太棒了！
1,这个软件太棒了！
1,好怀念
1,挺好
1,非常暖心可爱的APP;希望好多年以后;我们都还在;能收到这些从时光机里来的信。希望开发者能保持初心;坚持下去;把它留下来;非常感谢！！！
1,加油
1,不经意之间的感动和惊喜。
1,你一定要一直一直坚持下去;你真的是一个很好的APP！爱你！|我超级喜欢这个软件
1,给予未来;共白头
1,真的不错;还是初三发现的这个软件平时记录一些小事哈哈
1,很喜欢;推荐
1,挺好的;给很多很多人都写了
