情感倾向,评论
0,四五百公里的路;五六天都没到;你说疫情要核酸五六天也够了吧 在乌鲁木齐一点动静都没有。从乌鲁木齐到库尔勒8天了。还一点动静没有;我真是佩服他的配送速度
0,呵;家里给邮了个东西周一上午寄的周六还没到。还是省内快递;这速度真感人！
0,机型p20pro;打开即卡死;已解决;但是实在是太卡了
0,闪退
1,看了好多的评论都不是很好。那请问啊：搬家十几个大包能在这里寄吗？是跨省呢。
0,快递就在本市中转站送达时间却10.7变10.8又变10.10这是要拖多久？
0,这是我体验过最差的物流
0,退会员好难;最好优化个人中心
0,市内录取通知书急件都4天了动都没动;真不懂是个什么情况;要不是为了查录取通知书根本就不会下载
1,棒;通知书很快;爱了爱了
0,我的通知书啊;还有两天就开学了;现在还没到！！！！急死个人了
0,谢谢邮政 让我体验了一个月还没收到快递的焦急
1,希望大家不要再肆意地谩骂邮政了;知道录取通知书为什么都用EMS吗？因为只有EMS才全国都可以送;才可以跋山涉水把一封封承载着沉甸甸希望的录取通知书送到偏远山区犄角旮旯的孩子手中。在中国;只有这个快递能做到了。
1,明明几小时的车程;硬是在分拣那儿浪费时间（x_x；）别和我说邮政请不起临时工Σ(っ °Д °;)っ
0,我都没法注册;不给发短信验证码啊
0,一个邮件拖了几天不送
0,非常难用;等了7、8分钟一个在线客服都没有
0,太差了 必须获得用户隐身才能更新使用
0,什么服务态度
0,我用一个刘海遮住了手机顶端;然后就覆盖住了EMS顶端的搜索栏。
1,还不错哦
0,都到县里了;还要用两天？公交车都只要两小时
0,又慢又贵
0,同市同区直线距离不到5公里;发了4天;现在还没到;在揽投部扣了三天。要不是通知书没得选只能发EMS;鬼才用这玩意。我一星都不想给这软件
1,不知道是偏见还是水军。我每周五都要往北京寄一个件;用的EMS;星期六不到星期天一定会到;那边周末不上班;不能收件;接到快递电话肯定很烦;所以我特地来下客户端;看能不能寄件方更改派送时间;争取周末不打扰对方……
0,获取验证码;没收到验证码;30分钟后才能获取下一次;我等你三十分钟;结果;要开始轮回了？
1,运重要的文件;还是给EMS放心
0,有一说一;查询慢更新慢;员工还挺有意思;最后更新的行程说联系客户失败;没问过我就说联系不到客户;我联系他他跟我说车坏了;这就是国企员工吗;爱了呀(⑉°з°)-♡
0,明天就得去报道了;4号从锦州发大连的快递;7号还没到?你是用牛车?9号报道我现在连毕业证报到证的影子都看不见;物流信息也查不到!就这?就这啊
1,我就觉得邮政很好;你们骂邮政的;你们也不看看你们是什么时候评论的?二月份正值病毒的关键期;全国快递停运;你说什么?
0,太差了！把我很重要的证书运丢了！！！！
0,这个app也算是极度奇葩了;查询界面极度不友好;还以为自己是邮电老大呢
0,快递到这了;又给我返过去了
1,听你们把邮政骂的这么惨;真觉得邮政冤。试问国内快递;物流公司那么多;有几家快递公司是把分点是开到农村的？只有邮政啊。国际快递貌似也只有邮政啊。还有国内盈利最好的也只有邮政
0,用不了
1,最近办理户口迁移;支持国家EMS;不用去现场;足不出户办理业务。
0,nan
0,差评;慢的要死
0,走航运;一个月还没有出海关
0,不过说真的;邮政的快递确实是快递中最慢的了！给个一星
0,差评;态度很不好。
0,有一说一;条件允许的话还是别用EMS了;心累
