情感倾向,评论
1,看了好多的评论都不是很好。那请问啊：搬家十几个大包能在这里寄吗？是跨省呢。
1,希望大家不要再肆意地谩骂邮政了;知道录取通知书为什么都用EMS吗？因为只有EMS才全国都可以送;才可以跋山涉水把一封封承载着沉甸甸希望的录取通知书送到偏远山区犄角旮旯的孩子手中。在中国;只有这个快递能做到了。
1,明明几小时的车程;硬是在分拣那儿浪费时间（x_x；）别和我说邮政请不起临时工Σ(っ °Д °;)っ
0,我用一个刘海遮住了手机顶端;然后就覆盖住了EMS顶端的搜索栏。
1,不知道是偏见还是水军。我每周五都要往北京寄一个件;用的EMS;星期六不到星期天一定会到;那边周末不上班;不能收件;接到快递电话肯定很烦;所以我特地来下客户端;看能不能寄件方更改派送时间;争取周末不打扰对方……
1,运重要的文件;还是给EMS放心
1,我就觉得邮政很好;你们骂邮政的;你们也不看看你们是什么时候评论的?二月份正值病毒的关键期;全国快递停运;你说什么?
1,听你们把邮政骂的这么惨;真觉得邮政冤。试问国内快递;物流公司那么多;有几家快递公司是把分点是开到农村的？只有邮政啊。国际快递貌似也只有邮政啊。还有国内盈利最好的也只有邮政
1,最近办理户口迁移;支持国家EMS;不用去现场;足不出户办理业务。
1,很多人都在骂邮政;但是你们自己看看吧;顺丰靠着自己的垄断地位;搞割韭菜;已经是丰巢收费了。邮政本身就是一个国企;它更多的是负担国家责任。当资本家彻底掌握这个领域后;你信不信它顺丰能让你寄个同城付100？你倒时哭的时候;你就会发现;唯一能护你的邮政早被你给骂死了。
1,我们这儿邮政比顺丰都快
0,希望毕业之前能收到作业;“太快啦”
0,;14号到的;现在还送不过来
1,建议赶紧更新！
0,快递很牛;送货看心情;邮政快倒闭了;
0,从广东到江苏;目前发了五点半;停在无锡三天什么意思？
1,关键时刻还是邮政靠谱;公司发的过年福利本来打算寄家里;四通一达顺丰电话挨个打了一边;四通一达表示停运;顺丰表示火锅底料不能空运;陆运没车;还是邮政辛苦;过年都不带放假的;就是慢了点;不过邮政安全靠谱
0,我去年买了一个豆腐;特别指定卖家用中国邮政送过来;现在它到了;我终于有臭豆腐吃了
0,不思进取
1,一直显示系统开小差;登录不上
0,什么鬼东西
0,真的很蔡;如果不是查高考录取通知书;我这辈子都不会下
0,真是厉害 像个玩笑
0,录取通知书是让福建台风刮走了么？
1,真的很好;有些人不会用就说这不好;那不好;在搜索里面输入邮政编码就可以查到你想看的物流信息了
0,体验太棒了;我录取通知书都查不到！
0,一直显示网络异常
1,头像不能更改
0,不兼容安卓9.0;一寄件选地址就出现异常。
1,为什么打不开网页
1,太好用了;真哒新用户还可以获得十元红包
